Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2002,428
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2001,392
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,2000,387
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1999,392
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1998,379
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1997,354
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1996,396
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1995,404
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1994,384
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1993,384
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1992,422
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1991,458
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1990,424
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1989,467
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1988,442
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1987,469
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1986,460
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1985,453
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1984,423
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1983,434
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1982,416
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1981,456
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 40 a 44 años,1980,484
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2023,332
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2022,333
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2021,348
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2020,345
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2019,373
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2018,394
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2017,431
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2016,448
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2015,468
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2014,483
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2013,552
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2012,528
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2011,605
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2010,613
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2009,609
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2008,646
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2007,650
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2006,619
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2005,600
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2004,592
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2003,570
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2002,546
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2001,532
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,2000,521
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1999,520
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1998,466
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1997,558
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1996,546
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1995,539
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1994,586
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1993,592
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1992,631
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1991,583
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1990,631
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1989,628
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1988,597
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1987,587
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1986,649
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1985,679
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1984,702
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1983,764
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1982,853
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1981,889
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 45 a 49 años,1980,850
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 50 a 54 años,2023,679
